,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng
10,Thế Giới Những Điều Chưa Biết - Bí Ẩn Về Hóa Học,https://www.vinabook.com/images/thumbnails/product/240x/40679_47222.jpg,Hóa học,,  Thông tin tác giả    Lữ Chí Thanh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Lưu Tông Diễn     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bí ẩn về hóa học:Sức hấp dẫn của hóa học vũ trụNhững điều bí mật về nướcBí mật tác dụng quang hợp nằm ở đâu?Tại sao mũi lại có khả năng phân biệt mùi vị?Nhôm có phải là thủ phạm gây nên chứng đờ đần hay không?Cơ chế hóa học của chứng động kinh.Mời bạn đón đọc. ,32.000,,,,,,,,,,,,, 176.00 gam , 14 x 20.5 cm , 9786045606582 , 2011 ,, Thanh Hà , NXB Phụ Nữ , NXB Phụ Nữ , 160 ," Lữ Chí Thanh , Lưu Tông Diễn ", Bìa mềm 
11,Sổ Tay Ôn Tập Kiến Thức Hóa Học - Trung Học Cơ Sở,https://www.vinabook.com/images/thumbnails/product/240x/35070_41613.jpg,Hóa học,,"  Thông tin tác giả    Nguyễn Văn Thoại     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách ""Sổ tay ôn tập kiến thức hóa học Trung học cơ sở"" được viết theo chương trình và SGK mới, nhằm cung cấp kiến thức cơ bản nhất về Hóa học cho các em học sinh",19.000,,,,,,,,,,,,, 140.00 gam , 11 x 18 cm ,, 09/2010 ,,, CTCP Sách Dịch , NXB Giáo Dục , 190 , Nguyễn Văn Thoại , Bìa mềm 
12,Mười Vạn Câu Hỏi Vì Sao - Tri Thức Thế Kỉ 21 - Hóa Học,https://www.vinabook.com/images/thumbnails/product/240x/35136_41679.jpg,Hóa học,," ""Mười vạn câu hỏi vì sao"" là bộ sách phổ cập khoa học dành cho lứa tuổi thanh thiếu niên, dùng hình thức trả lời hàng loạt câu hỏi ""Thế nào?"", ""Tại sao?"" để trình bày một cách đơn giản, dễ hiểu một khối lượng lớn các khái niệm, các phạm trù khoa học, các sự vật, hiện tượng, quá trình trong tự nhiên, xã hội và con người, giúp cho người đọc hiểu được các lý lẽ khoa học tiềm ẩn trong các hiện tượng, quá trình quen thuộc trong đời sống thường nhật",40.000,,,,,,,,,,,,, 380.00 gam , 13 x 21 cm , 8934980023020 , 04/2010 ,," Từ Văn Mạc , Từ Thu Hằng ", CTCP Sách Dịch , NXB Giáo Dục , 416 ,, Bìa mềm 
13,Sổ Tay Hóa Học Sơ Cấp - Tập 1: Hóa Học Đại Cương,https://www.vinabook.com/images/thumbnails/product/240x/35056_41599.jpg,Hóa học,,"  Thông tin tác giả    A. T. Pilipenko     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sổ tay này trình bày cơ sở hóa học đại cương, vô cơ, hữu cơ với khối lượng nhiều hơn so với chương trình trung học phổ thông. Trong mỗi phần đều có những ví dụ giải bài toán mẫu và những bài toán tự giải. Cuốn sổ tay này còn đưa ra những bài toán được sưu tầm trong những kỳ thi tuyển vào đại học Tổng hợp Kiev trong những năm gần đây cho bạn đọc tham khảo.Cuốn sổ tay này giúp ích cho cho giáo viên cũng như học sinh chuẩn bị thi vào các trường đại học và cao đẳng.Mời bạn đón đọc.  ",42.800,,,,,,,,,,,,, 300.00 gam , 11 x 18 cm ,, 08/2009 ,, Lê Chí Kiên , CTCP Sách Dịch , NXB Giáo Dục , 436 , A. T. Pilipenko , Bìa mềm 
14,Sổ Tay Hóa Học Sơ Cấp - Tập 2: Hóa Vô Cơ,https://www.vinabook.com/images/thumbnails/product/240x/35055_41598.jpg,Hóa học,,"  Thông tin tác giả    A. T. Pilipenko     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sổ tay này trình bày cơ sở hóa học đại cương, vô cơ, hữu cơ với khối lượng nhiều hơn so với chương trình trung học phổ thông. Trong mỗi phần đều có những ví dụ giải bài toán mẫu và những bài toán tự giải. Cuốn sổ tay này còn đưa ra những bài toán được sưu tầm trong những kỳ thi tuyển vào đại học Tổng hợp Kiev trong những năm gần đây cho bạn đọc tham khảo.Cuốn sổ tay này giúp ích cho cho giáo viên cũng như học sinh chuẩn bị thi vào các trường đại học và cao đẳng.Mời bạn đón đọc.  ",30.800,,,,,,,,,,,,, 220.00 gam , 11 x 18 cm ,, 08/2009 ,, Lê Chí Kiên , CTCP Sách Dịch , NXB Giáo Dục , 312 , A. T. Pilipenko , Bìa mềm 
15,Thí Nghiệm Hoá Học Ở Trường Phổ Thông,https://www.vinabook.com/images/thumbnails/product/240x/27012_33482.jpg,Hóa học,,"  Thông tin tác giả    Nguyễn Thị Sửu     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Hoàng Văn Côi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Sách “Thí nghiệm hoá học ở trường phổ thông” được biên soạn theo chương trình sách giáo khoa Hoá học phổ thông của Bộ Giáo dục và Đào tạo mới ban hành. Việc biên soạn sách còn chú trọng bám sát chương trình đào tạo giáo viên hoá học phổ thông của Khoa Hóa học các trường Cao đẳng Sư Phạm và Đại học Sư phạm hệ 4 năm Nội dung các thí nghiệm được trình bày chi tiết cụ thể về sự chuẩn bị hoá chất, dụng cụ, các các tiến hành thí nghiệm, những hiện tượng cơ bản và giải thích. Đồng thời trong các thí nghiệm có nêu ra những điểm chú ý quan trọng để đảm bảo cho việc tiến hành thí nghiệm, để đảm bảo cho thí nghiệm thành công, an toàn. Trong một số thí nghiệm còn đề cập đến một số vấn đề về kiến thức, kỹ năng thí nghiệm ở dạng câu hỏi mang tính gợi ý cho giáo viên, sinh viên cùng suy nghĩ, sử dụng trong bài dạy nhằm tích cực hoá hoạt động tư duy cho học sinh. Mục lục: Lời nói đầu Phần 1: Thí nghiệm về các nhóm nguyên tố - hợp chất vô cơ và phân tích hoá học phổ thông Thí nghiệm về hiđro - nước Thí nghiệm về halogen Thí nghiệm về ôxi – lưu huỳnh Thí nghiệm về tốc độ phản ứng – cân bằng hoá học Thí nghiệm về nitơ – photpho … Phần 2: Các thí nghiệm về hợp chất hữu cơ Thí nghiệm về hiđrôcacbon Thí nghiệm về ankan Thí nghiệm về anken Thí nghiệm về ankin Thí nghiệm về aren …. Phần 3: Thí nghiệm hoá học vui Tài liệu tham khảo Mời bạn đón đọc. ",55.000,,,,,,,,,,,,, 330.00 gam , 16 x 24 cm , 8935048980866 , 09/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 232 ," Nguyễn Thị Sửu , Hoàng Văn Côi ", Bìa mềm 
16,Cơ Sở Hoá Học Phóng Xạ,https://www.vinabook.com/images/thumbnails/product/240x/27045_33537.jpg,Hóa học,,"  Thông tin tác giả    Đỗ Quý Sơn 
                                                                                                                                            Đỗ Quý Sơn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ứng dụng năng lượng nguyên tử vào mục đích hoà bình, bao gồm cả phát triển điện hạt nhân, dường như là đòi hỏi tất yếu của sự nghiệp công nghiệp hoá và hiện đại hoá đất nước. Đào tạo chuyên gia cho lĩnh vực khoa học công nghệ mới mẻ này đã trở thành một nhiệm vụ cấp thiết không chỉ của Viện Năng lượng Nguyên tử Việt Nam mà cả của nhiều trường đại học và các viện nghiên cứu khác.Việc biên soạn tài liệu giảng dạy ""Cơ sở Hoá học phóng xạ"" đầu tiên bằng tiếng Việt là một cố gắng nhằm đáp ứng phần nào nhiệm vụ đó.Những hiểu biết về Hoá học phóng xạ không chỉ cần thiết cho các cán bộ làm việc trong ngành năng lượng nguyên tử mà còn rất hữu ích cho chuyên gia của các lĩnh vực có liên quan với các bức xạ ion hoá. Vì nhiều lý do khách quan, chuyên ngành này không còn được giảng dạy chính thức và hệ thống tại các trường đại học ở Việt Nam. Việc chuẩn bị tập bài giảng này, vì thế, gặp nhiều khó khăn cả về tài liệu tham khảo, thuật ngữ chuyên ngành, lẫn thực tiễn giảng dạy.Để tiện cho việc in ấn, bài giảng này được chia thành hai tập. Tập 1 bao gồm các kiến thức đại cương về Hoá học phóng xạ và tập 2 về Hoá học phóng xạ ứng dụng, bao gồm cả chương ""Hoá học bức xạ"", được xem như là cơ sở cho việc tìm hiểu các ứng dụng của bức xạ ion hoá trong hoá học. Mục lục:Lời nói đầuĐối tượng nghiên cứu của hoá học phóng xạPhần I. Hoá học phóng xạ đại cươngChương 1. Hiện tượng phóng xạ và các đồng vị phóng xạChương 2. Sự phân rã phóng xạChương 3. Trao đổi đồng vịChương 4. Phân bố vi lượng đồng vị phóng xạ giữa hai phaChương 5. Điện hoá học của các nguyên tố phóng xạChương 6. Trạng thái của các đồng vị phóng xạ ở nồng độ siêu nhỏChương 7. Giới thiệu một số nguyên tố phóng xạ tự nhiênChương 8. Giới thiệu một số nguyên tố phóng xạ nhân tạoChương 9. UraniChương 10. ThoriChương  11. Các nguyên tố là sản phẩm phân rã của urani và thoriChương 12. Các nguyên tố sau uraniChương 13. Các tính chất chung của các actinitChương 14. Khả năng mở rộng bảng hệ thống tuần hoàn và tính chất chung của các nguyên tố đứng sau các nguyên tố actinitChương 15. Tương tác của các tia bức xạ với vật chấtChương 16. Đo phóng xạMời bạn đón đọc.  ",68.000,,,,,,,,,,,,, 480.00 gam , 19x27 cm , 8935048972410 , 03/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 280 , Đỗ Quý Sơn , Bìa mềm 
17,Bộ Sách Bổ Trợ Kiến Thức - Chìa Khóa Vàng: Hóa Học,https://www.vinabook.com/images/thumbnails/product/240x/24681_31139.jpg,Hóa học,," Trái đất đã tồn tại hàng mấy nghìn triệu năm, loài người thì chỉ mới xuất hiện mấy chục vạn năm. Suốt quá trình lịch sử phát triển của loài người từ hoang dã đến văn minh hiện đại chỉ chiếm một thời gian vô cùng ngắn ngủi (4 giây) so với toàn bộ lịch sử phát triển của tự nhiên. Nhưng với đôi tay khéo léo và bộ óc thông minh, loài người đã thúc đẩy xã hội tiến triển rất nhanh với tốc độ ngày càng chóng mặt. Một nhà khoa học đã nhận định: “Tri thức của loài người ở thế kỷ XIX, cứ khoảng 50 năm thì tăng gấp đôi; sang đầu thế kỷ XX, cứ 30 năm tăng gấp đôi; vào giữa thế kỷ XX cứ 10 năm tăng gấp đôi, đến thập kỷ 70, cứ 5 năm tăng gấp đôi; tới thập kỷ 80 cứ 3 năm tăng gấp đôi. Làn sóng phát triển mạnh mẽ và nhanh chóng như vậy của khoa học kỹ thuật thu hút mối quan tâm mãnh liệt của mọi lớp người, đặc biệt là lớp thiếu niên nhi đồng, tạo niềm say mê hứng thú học tập, tìm tòi và khám phá. Để đóng góp phần nhỏ bé vào kho tàng trí tuệ của các bạn, Bộ sách bổ trợ kiến thức CHÌA KHÓA VÀNG qua đó cung cấp một số tri thức phổ thông bổ trợ thêm vào lượng kiến thức vốn đã phong phú mà các bạn đang được nhà trường truyền thụ. Bộ sách sẽ lần lượt ra thành nhiều tập, đề cập tới các môn khoa học tự nhiên cơ bản, các lĩnh vực khoa học kỹ thuật… Song song, bộ sách cũng sẽ trình bày những tri thức về khoa học xã hội, đề cập tới các môn loại gần gũi với đời sống hàng ngày của mỗi chúng ta. Mục lục: Lời nói đầu Phân tử là gì? Nguyên tử là gì? Thế nào là hạt cơ bản? Vì sao lại nói các vật trên thế giới đều do nguyên tử cấu tạo nên? Vì sao từ bảng tuần hòan Mendeleev lại có thể dự đoán các nguyên tố mới Ta còn có thể phát hiện được các nguyên tố mới nữa không? Vì sao cần điều chế các chất có độ “tinh khiết cao” và “siêu tinh khiết”? Vì sao dùng ánh sáng có thể tiến hành phân tích hóa học? Không khí có những chất gì? Ai là người phát hiện oxi đầu tiên? Liệu lượng oxi trên trái đất có hết không? Vì sao sau cơn mưa giông, không khí lại trong lành hơn? Nitơ có tác dụng gì? Vì sao gọi các khí trơ là khí “lười’? Vì sao đèn Neon lại có nhiều màu? Nước là gì? Nước nặng là gì? Vì sao nước lại biến thành nhiên liệu? Vì sao gọi đơteri là nhiên liệu của tương lai? Tại sao trong ấm nước lại có cặn? Vì sao phèn chua lại làm sạch nước? Vì sao nước lại không cháy? …… Mời bạn đón đọc.  ",42.000,,,,,,,,,,,,, 260.00 gam , 13x20.5 cm ,, 09/2008 ,," Từ Văn Mặc , Trần Thị Ái ", Đông Tây , Nxb Lao động - Xã hội , 304 ,, Bìa mềm 
18,224 Câu Hỏi Lý Thú Về Hoá Học,https://www.vinabook.com/images/thumbnails/product/240x/24215_30672.jpg,Hóa học,,"  Thông tin tác giả    Xuân Trường     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Xung quanh cuộc sống của chúng ta từ xưa đến nay có rất nhiều hiện tượng kỳ lạ, lý thú. Khoa học ngày càng phát triển, những hiện tượng, sự vật kì bí đó dần tìm ra những lời giải đáp chính xác, đầy sức thuyết phục. Cuốn sách Hoá học thật lý thú sẽ cung cấp cho bạn đọc những hiểu biết cơ bản nhất, khá đầy đủ và khái quát về những hiện tượng hoá học diễn ra xung quanh cuộc sống con người. Dường như những biến đổi, tác động qua lại; những nguyên nhân xuất hiện một hiện tượng, sự vật… đều được lý giải một cách khoa học, chuẩn xác và dễ hiểu. Qua hơn 200 tiểu mục được trình bày dưới hình thức hỏi - đáp súc tích, độc giả sẽ tìm cho mình những đáp án thú vị, những hiểu biết phong phú, tưởng chừng bí ẩn mà lại hết sức mới lạ và hợp lý… tất cả xoay quanh vấn đề cấu tạo, tính chất và sự biến hoá của các chất, sự lý thú của hiện tượng, của các phản ứng hoá học có liên quan gần gũi với cuộc sống con người hàng ngày. Ngoài ra những vấn đề đơn giản vừa hấp dẫn, lôi cuốn sự tò mò tìm hiểu trong cuốn sách đặc biệt phù hợp với các bạn đọc nhỏ tuổi và những người mới tiếp xúc với những kiến thức của hoá học. Mục lục: Tại sao lại nói rằng mọi vật chất đều do nguyên tố cấu thành? Trong vỏ trái đất những nguyên tố nào có tương đối nhiều? Các hạt nhỏ nhất tạo nên các vật chất nước, đường, sắt là gì? Tại sao có thể dự đoán được các nguyên tố chưa phát hiện ra? Chúng ta có thể phát hiện ra nguyên tố mới không? Nguyên tố phóng xạ là gì? Tại sao không khí lại không rỗng? Tại sao nước không thể cháy được? “Băng khô” gì? Tại so đồng lại có nhiều màu khác nhau? Tại sao kim cương lại rắn và cứng đến như vậy? Hợp chất cao phân tử thiên nhiên nào bền vững nhất? Tại sao đá quý lại có nhiều màu sắc? Tại sao đá hoa lại có nhiều màu? Thạch anh là gì? …… Mời bạn đón đọc.  ",42.000,,,,,,,,,,,,, 350.00 gam , 13x19 cm , 8935077025217 , 03/2007 ,,, Phương Đông , Nxb Văn hóa Thông tin , 400 , Xuân Trường , Bìa mềm 
19,Hóa Học Vô Cơ - Tập 1 - Các Nguyên Tố Phi Kim,https://www.vinabook.com/images/thumbnails/product/240x/23742_30199.jpg,Hóa học,,"  Thông tin tác giả    Nguyễn Đức Vận 
                                                                                                                                            Nguyễn Đức Vận
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hóa học vô cơ tập 1 - Các nguyên tố phi kim đã được biên soạn theo phương pháp Hoá học vô cơ - Khoa hoá học - Trường Đại học Sư phạm - Hà Nội, dựa trên cơ sở các bài giảng mà tác giả đã giảng dạy trong nhiều năm cho sinh viên Khoá Hoá học tại Trường Đại học Sư phạm - Hà Nội. Nội dung cuốn sách đã đề cập đến những kiến thức cơ bản về phi kim; về trạng thái thiên nhiên; phương pháp điều chế; nguyên tố phi kim, đồng thời cũng là nội dụng thường được giảng dạy trong chương trình Hoá học vô cơ ở các trường đại học và một phần ở các trường trung học phổ thông. Các số liệu dẫn ra trong sách đã được chọn lọc từ các giáo trình cơ bản và các tài liệu tham khảo khác, đã được in trong nước và ngoài nước. Nội dung sách không chỉ được sử dụng cho sinh viên ngành Hoá học trường Đại học Sư phạm, mà còn hỗ trợ cho giáo viên giảng dạy môn Hoá học ở trường Trung học phổ thông, Trung học cơ sở, làm tài liệu tham khảo trong quá trình giảng dạy. Ngoài ra nội dung sách còn có thể giúp ích cho sinh viên học môn Hoá học vô cơ ở các trường đại học khác và các trường cao đẳng. Mục lục: 1. Mở đầu: Tổng quan về các nguyên tố phi kim 2. Hidro và các hợp chất hidrua 3. Oxi Ozon. Các hợp chất H2O, H2O2 và các oxit 4. Các nguyên tố nhóm VIIIA: heli, neon, agon, kripton, xenon, radon 5. Các nguyên tố nhóm VIIA: flo, clo, brom, iot, atatin 6. Các nguyên tố nhóm VIA: oxi, lưu huỳnh, selen, telu, poloni 7. Các nguyên tố nhóm VA: nitơ, photpho, asen, antimon, bitmut 8. Các nguyên tố phi kim nhóm IVA: Cacbon và silic 9. Nguyên tố phi kim nhóm IIIA: Bo Tài liệu tham khảo. Mời bạn đón đọc.  ",118.000,,,,,,,,,,,,, 510.00 gam , 19x27 cm , 8935048980453 , 09/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 352 , Nguyễn Đức Vận , Bìa mềm 
20,Cơ Sở Hóa Học Phối Trí,https://www.vinabook.com/images/thumbnails/product/240x/23730_30187.jpg,Hóa học,,"  Thông tin tác giả    Nguyễn Thanh Hồng 
                                                                                                                                            Nguyễn Thanh Hồng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ sở của hoá học phối trí được Werner Alfred đặt nền móng từ cuối thế kỉ 19. Ngày nay, môn hoá học phối trí trở thành một trong những hướng chủ đạo của hóa học vô cơ. Không chỉ nắm phần chủ đạo trong hoá học vô cơ, môn hóa học phối trí dần dần đã có những vị trí nổi bật trong các môn khoa học khác, như: hoá học hữu cơ, hoá học phân tích, hoá lí, và ngay cả trong hoá sinh. Tuy nhiên, vào thời kì cuối thế kỉ 19, đầu thế kỉ 20, sự phát triển của hóa học nói chung, và hoá học hữu cơ nói riêng, nằm trong tầm kiểm soát của thuyết hoá trị một lí thuyết thống lĩnh thời đó. Trong buổi bình minh của mình, hóa học phối trí vượt lên lí thuyết chưa hoàn chỉnh đó. Ngay từ năm 1893 Werner đã chỉ ra rằng, yếu tố quyết định cấu tạo của hợp chất phối trí không phải là hoá trị của kim loại hoặc nguyên tử trung tâm khác, mà là só lượng các nhóm nào đó liên kết trực tiếp với nguyên tử trung tâm, tức là số phối trí của nó. Những nhóm nào đó phải ở bên ngoài khối cầu của nguyên tử trung tâm và tồn tại như những ion liên kết chỉ bằng lực tĩnh điện. Vậy, hoá học phối trí là gì và nó giải quyết những vấn đề cơ bản nào? cuốn sách này được viết ra với mong muốn cung cấp cho bạn đọc những hiểu biết cơ bản về môn hoá học phối trí, và trả lời được những câu hỏi nêu trên. Cá hợp chất phối trí không chỉ tồn tại ở dạng tinh thể mà còn tồn tại trong dung dịch. Hai dạng hợp chất phối trí này có những đặc trưng hoàn toàn khác nhau. Đặc trưng của các hợp chất ở dạng tinh thể là hình thù và cấu tạo tinh thể, còn đặc trưng của các hợp chất trong dung dịch là độ bền của chúng. Ngày nay, môn hoá học phối trí nắm phần chủ đạo trong hoá học vô cơ, dần dần đã có vị trí nổi bật trong các môn khoa học khác như: Hoá học hữu cơ, hoá học phân tích, hoá lí… ngay cả trong hoá sinh. Tác giả viết cuốn sách này muốn cung cấp cho bạn đọc những hiểu biết cơ bản về môn hoá học phối trí. Môn học mà Chatt nói là nơi gặp gỡ của tất cả các môn hoá học. Mục lục: Lời nói đầu Chương 1: Mở đầu Chương 2: Các thông tin chung về liên kết hoá học trong các hợp chất phức Chương 3: Các phản ứng của phần tử thức Chương 4: Các kiểu cơ bản của hợp chất phức Chương 5: Các kiểu hiện tượng đồng phân của Ion phức Chương 6: Liên kết hóa học trong các hợp chất phức của kim loại chuyển tiếp Chương 7: Độ bền của hợp chất phức trong dung dịch Chương 8: Tổng hợp các hợp chất phức Tài liệu tham khảo. Mời bạn đón đọc. ",39.000,,,,,,,,,,,,, 290.00 gam , 16x24 cm , 8935048981252 , 06/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 218 , Nguyễn Thanh Hồng , Bìa mềm 
21,Cơ Chế Và Phản Ứng Hoá Học Hữu Cơ - Tập 3,https://www.vinabook.com/images/thumbnails/product/240x/22371_28807.jpg,Hóa học,,"  Thông tin tác giả    Thái Doãn Tĩnh 
                                                                                                                                            Thái Doãn Tĩnh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách “Cơ chế và phản ứng hoá học hữu cơ” này được biên soạn trên cơ sở cuốn “cơ sở lý thuyết hoá hữu cơ” nhằm bổ sung thêm những kiến thức cơ bản và hiện đại về liên kết hoá học, các hiệu ứng cấu trúc, hoá học lập thể, nhất là các cơ chế phản ứng cụ thể trong các loại phản ứng cơ bản của hóa học hữu cơ như phản ứng thế gốc, electrophin và nucleophin; phản ứng cộng gốc, electrophin và nucleophin; phản ứng tách; phản ứng chuyển vị; phản ứng nhiệt và quang hoá; phản ứng oxy hoá khử. Cuốn sách dùng cho sinh viên đại học, cao học và nghiên cứu sinh đang nghiên cứu về hoá học hữu cơ và có thể làm tài liệu tham khảo cho các cán bộ giảng dạy và nhiên cứu về hoá học hữu cơ. Cuốn sách gồm 15 chương chia ra làm ba tập. Mục lục: Lời nói đầu Các chữ biết tắt và thuật ngữ Chương 11: Phản ứng cộng nucleophin Chương 12: Phản ứng của gốc tự do Chương 13: Phản ứng nhiệt và quang hoá Chương 14: Phản ứng chuyển vị Chương 15: Phản ứng oxy hoá khử Tài liệu tham khảo. Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 610.00 gam , 19x27 cm , 8935048980569 , 06/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 393 , Thái Doãn Tĩnh , Bìa mềm 
22,Giáo Trình Hoá Học Đại Cương,https://www.vinabook.com/images/thumbnails/product/240x/22009_p28443.jpg,Hóa học,," Giáo Trình Hoá Học Đại CươngHoá học là một trong những lĩnh vực của khoa học tự nhiên nghiên cứu về thế giới vật chất và sự vận động của nó, nhằm tìm ra các quy luật vận động để vận dụng vào cuộc sống.Sự vận động hoá học của chất đó là quá trình biến đổi chất này thành chất khác.Những sự chuyển hoá các chất gọi là hiện tượng hoá học hay phản ứng hoá học.Các phản ứng hoá học xảy ra thường kèm theo sự biến đổi năng lượng dưới các dạng khác nhau (nhiệt, điện, quang, cơ, ",36.000,,,,,,,,,,,,, 300.00 gam , 14.5x20.5 cm , 8935048963913 , 12/2006 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 328 ,,
23,Cơ Chế Và Phản Ứng Hoá Học Hữu Cơ - Tập 2,https://www.vinabook.com/images/thumbnails/product/240x/22369_28805.jpg,Hóa học,,"  Thông tin tác giả    Thái Doãn Tĩnh 
                                                                                                                                            Thái Doãn Tĩnh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách “Cơ chế và phản ứng hoá học hữu cơ” này được biên soạn trên cơ sở cuốn “cơ sở lý thuyết hoá hữu cơ” nhằm bổ sung thêm những kiến thức cơ bản và hiện đại về liên kết hoá học, các hiệu ứng cấu trúc, hoá học lập thể, nhất là các cơ chế phản ứng cụ thể trong các loại phản ứng cơ bản của hóa học hữu cơ như phản ứng thế gốc, electrophin và nucleophin; phản ứng cộng gốc, electrophin và nucleophin; phản ứng tách; phản ứng chuyển vị; phản ứng nhiệt và quang hoá; phản ứng oxy hoá khử. Cuốn sách dùng cho sinh viên đại học, cao học và nghiên cứu sinh đang nghiên cứu về hoá học hữu cơ và có thể làm tài liệu tham khảo cho các cán bộ giảng dạy và nhiên cứu vè hoá học hữu cơ. Cuốn sách gồm 15 chương chia ra làm ba tập. Mục lục: Lời nói đầu Các chữ biết tắt và thuật ngữ Chương 5: Phản ứng thế nucleophin của Hyđrocacbon aliphatic Chương 6: Phản ứng thế nucleophin của hyđrocacbon thơm Chương 7: Phản ứng thế electrophin của hyđrocacbon aliphatic Chương 8: Phản ứng thế electrophin của hợp chất thơm Chương 9: Phản ứng tách E Chương 10: Phản ứng cộng electrophin Tài liệu tham khảo. Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 680.00 gam , 19x27 cm , 8935048980552 , 06/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 408 , Thái Doãn Tĩnh , Bìa mềm 
24,Nhiệt Động Hóa Học,https://www.vinabook.com/images/thumbnails/product/240x/21995_p28429.jpg,Hóa học,,"  Thông tin tác giả    Đào Văn Lượng 
                                                                                                                                            Đào Văn Lượng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nhiệt Động Hóa Học:Hóa lý là cơ sở lý thuyết của nhiều ngành công nghiệp, nông nghiệp quan trọng như công nghiệp hóa học, công nghiệp lọc - hóa dầu, công nghiệp chế biến thực phẩm, công nghiệp luyện kim, công nghiệp vật liệu xây dựng, hóa nông",38.000,,,,,,,,,,,,, 280.00 gam , 16x24 cm , 8935048982402 , 05/2007 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 221 , Đào Văn Lượng ,
25,Hoá Học Các Hợp Chất Có Hoạt Tính Kháng Khuẩn Và Khử Trùng,https://www.vinabook.com/images/thumbnails/product/240x/21986_p28420.jpg,Hóa học,,"  Thông tin tác giả    Mai Tuyên 
                                                                                                                                            Mai Tuyên
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Chiếm tỉ lệ cao nhất trong cơ cấu bệnh tật trên thế giới và ở nước ta là những bệnh nhiễm trùng . Những vi khuẩn gây nên bệnh thâm nhập vào cơ thể theo nhiều con đường trong quá trình sống, như ăn uống, thở, tiếp xúc, kể cả qua các vết thương và phẫu thuật. Vi khuẩn vào cơ thể gây bệnh ở tất cả các bộ phận, cả lục phũ ngũ tạng, não, tai mũi họng, răng hàm mặt, mắt, đường tiết niệu, máu, xương, da",72.000,,,,,,,,,,,,, 550.00 gam , 16x24 cm , 8935048980286 , 12/2007 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 288 , Mai Tuyên , Bìa mềm 
26,Cơ Sở Hoá Học Lượng Tử,https://www.vinabook.com/images/thumbnails/product/240x/21984_p28416.jpg,Hóa học,," Tuy hoá học lượng tử đóng vai trò quan trọng trong hoá học hiện đại, nhưng không có nghĩa là mọi vấn đề của hoá học chỉ có thể giải quyết bằng lý thuyết lượng tử mà phải là sự kết hợp thật chặt chẽ giữa lý thuyết và thực nghiệm. Quan hệ mật thiết đó là bước phát triển tất yếu của hoá học hiện đại ngày nay và trong tương lai.Cuốn sách này đựơc viết ở mức độ dùng cho sinh viên năm thứ 3 và cao học. Nó bao gồm các bài giảng của tác giả đã được giảng dạy nhiều năm tại khoa Hoá trường Đại học Khoa học Tự nhiên  - Đại học Quốc gia Hà Nội. Trong cuốn sách này tác giả trình bày một cách ngắn gọn và hệ thống những cơ sở quan trọng và cần thiết nhất của hoá học lượng tử nhằm giúp cho độc giả hiểu được nền tảng cơ sở của môn học để tiếp tục đi sâu nghiên cứu những vấn đề quan tâm liên quan. Cơ sở hoá học lượng tử gồm 11 chương đi từ cơ sở của cơ học lượng tử đến ứng dụng của nó cho hệ cấu tạo nguyên tử; từ bài toán đơn giản là phân tử hiđrô đến các phương pháp tính gần đúng phổ cập hiện nay",64.000,,,,,,,,,,,,, 450.00 gam , 16x24 cm , 8935048973110 , 01/2008 ,,, NXB KHKT , NXB Khoa học và kỹ thuật , 336 ,, Bìa mềm 
