tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Bệnh Trẻ Em Và Cách Điều Trị,https://www.vinabook.com/images/thumbnails/product/240x/30082_36595.jpg,Nhi khoa,  Thông tin tác giả    Hoàng Thúy     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Mục lục:  Chương 1: Các giai đoạn phát triển của trẻ với cách nuôi dưỡng Chương 2: Những yếu tố ảnh hưởng xấu tới sức khỏe trẻ em Chương 3: Một số dấu hiệu bị bệnh ở trẻ Chương 4: Bệnh trẻ em thường gặp Bệnh về dinh dưỡng Bệnh về hô hấp Bệnh truyền nhiễm Bệnh về da … Mời bạn đón đọc.  ,42.0, 13 x 20.5 cm , 09/2009 ,, Đông Tây , Nxb Lao động ,312.0, Hoàng Thúy , Bìa mềm 
Tiếng Nói Cơ Thể Trẻ Em,https://www.vinabook.com/images/thumbnails/product/240x/29964_36477.jpg,Nhi khoa,"  Thông tin tác giả    Hoàng Anh 
                                                                                                                                            Hoàng Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Sức khỏe là vốn quý nhất của con người. Có sức khỏe, có trí tuệ, các em mới học tập một cách thông minh, góp phần xây dựng nền giáo dục nước nhà ngày một tiên tiến, hiện đại hòa nhập cùng khu vực và thế giới. Nếu cơ thể chiến thắng với tác nhân gây bệnh sẽ không mắc bệnh hoặc bệnh nhẹ. Cơ thể không đủ sức chiến thắng sẽ mắc bệnh do chưa hiểu cách tăng cường sức khỏe…Cuốn sách cung cấp tới bạn một lượng tri thức về tiếng nói cơ thể trẻ em giúp bạn tham khảo cách chăm sóc trẻ em nhằm ngăn ngừa các tác nhân gây bệnh, giúp cho các em tràn đầy sức khỏe, hăng say học tập sáng tạo… Mời bạn đón đọc. ",30.5, 13 x 20.5 cm , 07/2009 ,, Phương Đông , Nxb Lao động ,176.0, Hoàng Anh , Bìa mềm 
Phát Hiện Và Điều Trị Bệnh Cho Trẻ Từ Sơ Sinh Đến 5 Tuổi,https://www.vinabook.com/images/thumbnails/product/240x/29705_36217.jpg,Nhi khoa,"  Thông tin tác giả    Nguyễn Hoàng Anh 
                                                                                                                                            Nguyễn Hoàng Anh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Các bậc cha mẹ ai cũng muốn đứa con mình sinh ra được khỏe mạnh, thông minh, học giỏi, thành tài. Để thực hiện ước muốn đó, đòi hỏi các bậc cha mẹ cần có kiến thức về nuôi dưỡng, chăm sóc, giữ gìn sức khỏe cho con, đặc biệt giai đoạn từ sơ sinh đến 5 tuổi. Ở giai đoạn này, rất nhiều bệnh trẻ có thể mắc phải. Nếu hiểu rõ tác nhân gây bệnh, biết phát hiện triệu chứng bệnh sớm ở trẻ - cha mẹ sẽ góp phần rất lớn vào việc ngăn ngừa và điều trị hiệu quả bệnh tật cho con, đồng thời tránh được những sai lầm đáng tiếc xảy ra. Mời bạn đón đọc. ",40.0, 13 x 19 cm , 09/2009 ,, NXB Phụ Nữ , NXB Phụ Nữ ,276.0, Nguyễn Hoàng Anh , Bìa mềm 
"Bệnh Đường Ruột Ở Trẻ Em - Phòng Ngừa, Chẩn Đoán, Điều Trị",https://www.vinabook.com/images/thumbnails/product/240x/29697_36209.jpg,Nhi khoa,"  Thông tin tác giả    Nguyễn Xuân Quý 
                                                                                                                                            Nguyễn Xuân Quý
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Lam Giang 
                                                                                                                                            Lam Giang
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả        Bệnh đường ruột là bệnh thường gặp ở trẻ, chiếm tỉ lệ cao trong bệnh nhi, chỉ đứng thứ hai sau bệnh đường hô hấp. Nguyên nhân gây ra bệnh đường ruột ở trẻ em rất phức tạp, việc phân biệt và chẩn đoán khác hẳn với người lớn. Hơn nữa, trẻ chưa có khả năng hoặc còn hạn chế về diễn đạt và miêu tả triệu chứng bệnh của mình. Nhiều khi triệu chứng đường ruột mà trẻ mắc phải là sự thể hiện không đặc thù một loại nhiễm trùng nghiêm trọng như viêm màng não, viêm phổi, chứng bại huyết…càng làm cho việc chẩn đoán thêm khó khăn. Một sự thay đổi nhỏ về chức năng đường ruột có thể ảnh hưởng lớn đến sự phát triển của trẻ. Do đó đòi hỏi các bậc cha mẹ phải nắm được cơ chế gây bệnh, triệu chứng bệnh để phát hiện kịp thời, nhằm phối hợp chặt chẽ với thầy thuốc trong việc chẩn đoán và điều trị Cuốn sách này sẽ cung cấp cho bạn một số kiến thức cơ bản nhất về lĩnh vực này. Mời bạn đón đọc.  ",36.0, 14.5x20.5 cm , 09/2009 ,, NXB Phụ Nữ , NXB Phụ Nữ ,240.0," Nguyễn Xuân Quý , Lam Giang ", Bìa mềm 
Tìm Hiểu Về Bệnh - Bạn Biết Gì Về Chúng? (Bộ Sách Dùng Cho Học Sinh Tiểu Học) (Trọn Bộ 6 Tập),https://www.vinabook.com/images/thumbnails/product/240x/23693_30150.jpg,Nhi khoa,"  Thông tin tác giả    Inthanon Publishing Editorial Team     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nội dung sách bao gồm: Quyển 1: Mụn – Viêm khoé miệng – Viêm ruột thừa – Động kinh - Chảy máu cam - Sốt bại liệt – Bài tập Quyển 2: Loạn thị - Bạch hầu - Mắt đỏ (viêm kết mạc) – Viêm xoan  - Vắc xin (chủng ngừa) – Siêu vi khuẩn – Bài tập Quyển 3: Bàn chân vận động viên - Sởi – Nicotine (hút thuốc lá) - Nấm da - Ghẻ ngứa - Nổi mề đay – Bài tập Quyển 4: Hen suyển – Phù chân voi - Sốt xuất huyết - Dịch hạch - Bệnh dại - Uốn ván – Bài tập Quyển 5: Viêm tai giữa mãn tính – Táo bón – Tiêu chảy – Viêm Amidan - Sốt thương hàn – Bài tập Quyển 6: Cúm gà - Cảm lạnh – Sâu răng – Cúm – Viêm nướu – Quai bị - Bài tập Trong mỗi quyển sách, từng loại bệnh được trình bày dưới hình thức một câu chuyện ngắn và nêu lên được nguyên nhân, triệu chứng, cách điều trị, cách phòng ngừa, giúp bạn đọc vui và dễ nhớ. Mời bạn đón đọc. ",90.0, 21x30 cm , 03/2008 , Đăng Thuỷ , Sách Hoa Hồng , Nxb Văn hóa Thông tin ,98.0, Inthanon Publishing Editorial Team , Bìa mềm 
Tìm Hiểu Về Bệnh - Bạn Biết Gì Về Chúng? (Bộ Sách Dùng Cho Học Sinh Trung Học) (Trọn Bộ 6 Tập),https://www.vinabook.com/images/thumbnails/product/240x/23694_30151.jpg,Nhi khoa,"  Thông tin tác giả    Inthanon Publishing Editorial Team     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nội dung sách bao gồm: Quyển 1: Mụn – Vô kinh – Viêm khoé miệng – Động kinh – Đau nửa đầu - Chảy máu cam - Sốt bại liệt Quyển 2: Viêm ruột thừa - Loạn thị - Bệnh bạch hầu - Viễn thị - Cận thị - Bệnh dịch hạch - Mắt đỏ (viêm kết mạc) Quyển 3: Hen suyễn – Bàn chân vận động viên – Nicotine (Hút thuốc lá) - Bệnh dại - Nấm da - Ghẻ ngứa - Nổi mề đay Quyển 4: Cúm chim – Cảm lạnh – Táo bón – Tiêu chảy – Phù chân voi – Cúm – Viêm dạ dày- Sốt xuất huyết - Sốt thương hàn Quyển 5: AIDS (HIV) – Ung thư – Sâu răng – Viêm nướu răng - Bướu cổ đơn thuần – Quai bị - Lao Quyển 6:Viêm tai giữa - Sởi Đức - Sởi - Sốt rét – Viêm xoang - Uốn ván – Viêm Amidan - Vắc xin – Siêu vi khuẩn Trong mỗi quyển sách, từng loại bệnh được trình bày dưới dạng bài học, song ngữ Anh - Việt Mời bạn đón đọc. ",90.0, 21x30 cm , 03/2008 , Đặng Thuỷ , Sách Hoa Hồng , Nxb Văn hóa Thông tin ,98.0, Inthanon Publishing Editorial Team , Bìa mềm 
Ưu Sinh Và Giáo Dục Thai Nhi,https://www.vinabook.com/images/thumbnails/product/240x/21517_p27947.jpg,Nhi khoa,"  Thông tin tác giả    Vạn Lực Sinh 
                                                                                                                                            Vạn Lực Sinh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ưu Sinh Và Giáo Dục Thai Nhi:Đào tạo và bồi dưỡng nhân tài phải bắt đầu ngay từ khi hình thành mầm sống, cũng có nghĩa là giáo dục phải bắt đầu ngay từ thời kỳ thai nhi. Khái niệm giáo dục thai nhi được truyền bá rộng rãi đến mỗi gia đình, giúp các bậc cha mẹ tương lai tạo ra được một môi trường tốt cho thai nhi phát triển khoẻ mạnh và có trí năng vượt trội.Khoa học hiện đại không ngừng chứng minh, thai nhi là một sinh mệnh nhỏ bé có cảm giác, có phản ứng nhất định đối với sự thay đổi của thế giới bên ngoài, như phản ứng với âm thanh tim đập, âm thanh máu chảy trong huyết quản của người mẹ và âm thanh giọng nói, tiết tấu âm nhạc bên ngoài. Thông qua dụng cụ trắc định, các nhà y học trong ngoài nước đã khẳng định: Thai nhi không ngủ li bì trong cơ thể mẹ, mà cùng với sự phát triển của cơ thể dần dần có khả năng như cảm giác da, hoạt động chi, vận động hô hấp, phát thành, hơn nữa, luôn bị ảnh hưởng bởi sự thay đổi tâm sinh lý của người mẹ, nên có những phản ứng tinh thần tương tự.Giáo dục thai nhi chính là căn cứ vài những điều này để giáo dục mở mang trí óc cho thai nhi một cách có kế hoạch, là cơ sở vững chắc cho việc giáo dục trẻ thật tốt ngay sau khi sinh ra. Nếu bỏ lỡ cơ hội giáo dục thai nhi, thì sau khi trẻ chào đời sẽ khó có thể bổ sung bài học này. Vì thế, muốn có được một cục cưng khoẻ mạnh, thông minh, dễ thương, thì không thể bỏ lỡ việc giáo dục thai nhi ngay từ thời kỳ mang thai.Việc giáo dục thai nhi có thành công hay không có liên quan nhất định tới các yếu tố như tâm lý, dinh dưỡng, tinh thần của người mẹ và di truyền. Giáo dục thai nhi có liên quan đến nhiều mặt, ngoài việc phải chú ý làm tốt công tác giáo dục thai nhi trong từng giai đoạn của 10 tháng mang thai, còn phải thông qua các biện pháp giáo dục thai nhi kích thích bên ngoài như xoa bóp, vận động, âm nhạc, ngôn ngữ, mỹ học, tinh thần, môi trường, ánh sáng",60.0, 14.5x20.5 cm , 03/2008 , Nguyễn Đăng Thuỳ Ân , Quỳnh Mai , Nxb Đà Nẵng ,360.0, Vạn Lực Sinh ,
Nghệ Thuật Giáo Dục Thai Nhi,https://www.vinabook.com/images/thumbnails/product/240x/21516_p27946.jpg,Nhi khoa,"  Thông tin tác giả    Cao Khiết 
                                                                                                                                            Cao Khiết
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nghệ Thuật Giáo Dục Thai Nhi:Đào tạo và bồi dưỡng nhân tài phải bắt đầu ngay từ khi hình thành mầm sống, cũng có nghĩa là giáo dục phải bắt đầu ngay từ thời kỳ thai nhi. Khái niệm giáo dục thai nhi được truyền bá rộng rãi đến mọi gia đình, giúp các bậc cha mẹ tương lai tạo ra được một môi trường tốt cho thai nhi phát triển khỏe mạnh và có trí năng vượt trội.Khoa học hiện đại không ngừng chứng minh, thai nhi là một sinh mệnh nhỏ bé có cảm giác, có phản ứng đối với sự thay đổi của thế giới bên ngoài, như phản ứng đối với âm thanh tim đập, âm thanh máu chảy trong huyết quản của người mẹ và âm thanh giọng nói, tiết tấu âm nhạc bên ngoài. Thông qua dụng cụ trắc định, các nhà y học trong ngoài nước đã khẳng định: Thai nhi không ngũ li bì trong cơ thể mẹ, mà cùng với sự phát triển của cơ thể dần dần có các khả năng như có cảm giác da, hoạt động chi, vận động hô hấp, phát thanh; hơn nữa, luôn bị ảnh hưởng bởi sự thay đổi tâm sinh lý của người mẹ, nên có những phản ứng tinh thần tương tự. Giáo dục thai nhi chính là căn cứ vào những điều này để giáo dục mở mang trí óc cho thai nhi một cách có kế hoạch, là cơ sở vững chắc cho việc giáo dục trẻ thật tốt ngay sau khi sinh ra. Nếu bỏ lỡ cơ hội giáo dục thai nhi, thì sau khi trẻ chào đời sẽ khó có thể bổ sung bài học này. Vì thế, muốn có được một cục cưng khỏe mạnh, thông minh, dễ thương, thì không thể bỏ lỡ việc giáo dục thai nhi ngay từ thời kỳ mang thai.Việc giáo dục thai nhi có thành công hay không có liên quan nhất định tới các yêu tố như tâm lý, dinh dưỡng, tinh thần của người mẹ và di truyền. Giáo dục thai nhi có liên quan đến nhiều mặt, ngoài việc phải chú ý làm tốt công tác giáo dục thai nhi trong từng giai đoạn của 10 tháng mang thai, còn phải thông qua các biện pháp giáo dục thai nhi kích thích bên ngoài như xoa bóp, vận động, âm nhạc, ngôn ngữ, mỹ học, tinh thần, môi trường, ánh sáng",50.0, 14.5x20.5 cm , 10/2007 , Nguyễn Thị Hà , Quỳnh Mai , Nxb Đà Nẵng ,384.0, Cao Khiết ,
Bệnh Trẻ Em - Cách Phòng Tránh Và Điều Trị,https://www.vinabook.com/images/thumbnails/product/240x/17156_p23562.jpg,Nhi khoa,"  Thông tin tác giả    BS. Bùi Xuân Vĩnh 
                                                                                                                                            BS. Bùi Xuân Vĩnh
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bệnh Trẻ Em - Cách Phòng Tránh Và Điều Trị:Bạn là một phụ nữ đã thành gia thất, khi điều kiện kinh tế đã ổn định, cuộc sống gia đình yên vui, thì bạn sẽ có điều mong ước gì đây? Chắc rằng, khi đó điều mong ước lớn lao của bạn sẽ là sinh con, bé sẽ mang lại niềm vui sướng, mang lại hạnh phúc cho cả gia đình bạn, nhất là cho bạn. Bạn thử tưởng tượng, con mình là một bé rất khoẻ mạnh, bụ bẫm, lành lặn, vui tươi, hứa hẹn một trí thông minh tuyệt vời sau này. Nghĩ đến đó, bạn cảm thấy vô cùng hạnh phúc và bạn mỉm cười, sung sướng",26.0, 14.5x20.5 cm , 07/2007 ,, NXB Phụ Nữ , NXB Phụ Nữ ,192.0, BS. Bùi Xuân Vĩnh ,
Bệnh Trẻ Em,https://www.vinabook.com/images/thumbnails/product/240x/17124_p23530.jpg,Nhi khoa,"  Thông tin tác giả    Nguyễn Minh Tiến 
                                                                                                                                            Nguyễn Minh Tiến
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bệnh Trẻ Em:Trong quá trình nuôi dưỡng và chăm sóc con cái, tất cả chúng ta đều có không ít lần phải tìm đến các y bác sĩ hay bệnh viện. Trong những lần như thế, cho dù bệnh tình của trẻ nặng hay nhẹ, thông thường hay nghiêm trọng, chúng ta cũng không sao tránh khỏi những sự thấp thỏm lo sợ cho đến khi có được kết quả trả lời của bác sĩ điều trị. Trong khi chờ đợi, các bậc cha mẹ chúng ta luôn muốn được biết thật nhiều về bệnh tình của trẻ, nhưng thật không may là hầu hết các bác sĩ thường không có đủ thời gian để trả lời tất cả những câu hỏi của chúng ta, hoặc thậm chí là để giải thích những gì ta không hiểu. Sự thật là họ có quá nhiều bệnh nhân để chăm sóc, điều trị, và chỉ có thể dành cho ta một phần thời gian tiếp xúc rất hạn chế.Quyển sách này dựa vào các thông tin y khoa đáng tin cậy đã qua so sánh, đối chiếu và tổng hợp, nhằm đáp ứng nhu cầu tìm hiểu bệnh trẻ em. Tuy chưa phải đã hoàn toàn đầy đủ, nhưng đối với hầu hết các bệnh thông thường của trẻ em, các bậc cha mẹ có thể xem đây như một người bạn dễ tính, có thể tìm đến bất cứ lúc nào để hỏi han về bệnh tình của con cái mình. Quyển sách có thể giúp chúng ta yên tâm phần nào khi con trẻ bệnh, nhờ có được sự hiểu biết đúng đắn về căn bệnh mà trẻ đang mắc phải.Nhưng điều cần phải nói ngay là, quyển sách không nhắm đến việc giúp người sử dụng có thể tự mình chẩn đoán và điều trị tất cả bệnh tật của trẻ em - điều này chẳng những không thể thực hiện được mà đôi khi còn là một ý tưởng rất nguy hiểm. Tuy nhiên, với mục đích chính là giúp người đọc tìm hiểu về bệnh trẻ em, sách này sẽ mang lại những thông tin tổng quát và có tính hệ thống, giúp các bậc cha mẹ có thể tìm hiểu được hầu hết các trường hợp bất ổn về sức khoẻ của con mình để hướng đến một phương thức điều trị thích hợp. Mặc dù trong phần lớn các trường hợp, sự can thiệp đúng lúc của bác sĩ vẫn luôn được nhắc đến, nhưng sự khác biệt lớn lao mà quyển sách này có thể mang lại cho các bậc cha mẹ chính là sự hiểu biết về những gì đang xảy ra cho con trẻ.Sự hiểu biết sẽ xua tan đi những lo lắng không cần thiết - điều rất thường gặp ở bất cứ cha mẹ nào, nhất là với những ai mới có con lần đầu. Sự hiểu biết cũng giúp các bậc cha mẹ thực hiện đúng lúc những gì cần thiết để bảo vệ sức khoẻ cho con trẻ. Trong rất nhiều trường hợp, ngay cả khi hiểu biết được sự giới hạn của mình trong việc đối phó với một căn bệnh nào đó cũng là một điều hết sức cần thiết, để có thể kịp thời nhờ đến sự can thiệp chuyên môn. Và trong một số trường hợp khác, sự hiểu biết giúp cha mẹ có thể mạnh dạn thực hiện những biện pháp chăm sóc tại nhà để giảm nhẹ tức thì những bất ổn mà trẻ đang gánh chịu.Mục Lục:Lời nói đầuPhần 1: Những hiểu biết căn bản về cơ thể con ngườiCác hệ thống của cơ thểSự phát triển của bộ xươngCác giác quan.Phần 2: Theo dõi sự phát triển của trẻĐặc điểm của trẻ sơ sinhCác mốc phát triểnSự phát triển trong độ tuổi thiếu niênNếp sống lành mạnhNuôi dưỡng trẻ sơ sinhCho trẻ ăn dặmChế độ ăn uống lành mạnhAn toàn và sức khoẻPhòng ngừa tai nạnMột số vấn đề khác thườngChăm sóc trẻ lớn hơn.Phần 3: Tìm hiểu bệnh trẻ emCác bệnh ở taiCác bệnh ở mắtCác vấn đề về răng miệngCác bệnh ngoài daCác bệnh nhiễm khuẩnCác vấn đề về hệ tiêu hoáCác vấn đề về hệ hô hấpCác vấn đề về máu và tuần hoànCác vấn đề về hệ thần kinhCác vấn đề về cảm xúc và ứng xửCác vấn đề về cơ, xương và khớpCác vấn đề về hệ sinh dục - tiết niệuRối loạn nội tiết tốCác vấn đề do di truyền.Phần 4: Chẩn đoán bệnh trẻ emChẩn đoán trẻ em dưới một năm tuổiChẩn đoán trẻ em trên một năm tuổiChẩn đoán trẻ em mọi lứa tuổiCác biện pháp sơ cấp cứu.Mời bạn đón đọc. ",76.0," 14,5x20,5 cm ", 07/2006 ,, Quang Minh , Nxb Văn hóa Thông tin ,544.0, Nguyễn Minh Tiến ,
