tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Phương Pháp Học Guitare,https://www.vinabook.com/images/thumbnails/product/240x/344430_p88318mphuongphap.jpg,Âm nhạc,"  Thông tin tác giả    F. Carulli     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đây là bản dịch từ cuốn sách đã được tác giả F. Carulli chỉnh sửa tái bản lần cuối cùng, với phần nhạc lý cơ bản được tóm tắt ngắn gọn; các bài tập đọc nốt nhạc, rải hợp âm, chạy gam, thế tay, chồng quãng, nốt luyến, nốt hoa mỹ, âm bồi,… xen kẽ với 56 tiểu phẩm và sáu khúc chuyên luyện được sắp xếp theo trình độ kỹ thuật nâng cao dần.Nhằm hỗ trợ thêm người học, chúng tôi có kèm link download bản thu âm minh họa các bài tập chạy gam cùng 40 tiểu phẩm tiêu biểu.Mời bạn đón đọc. ",98.0, 20.5 x 29.5 cm , 08/2019 , Trịnh Minh Thanh , Huy Hoàng , NXB Dân Trí ,160.0, F. Carulli , Bìa mềm 
Lắng Nghe Giai Điệu Boléro,https://www.vinabook.com/images/thumbnails/product/240x/344202_p88280mnxbtrefull02522019035223.jpg,Âm nhạc,"  Thông tin tác giả    Vũ Đức Sao Biển 
                                                                                                                                            Vũ Đức Sao Biển
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Dòng nhạc Boléro đang chứng nghiệm một sự khởi sắc mạnh mẽ trong những năm gần đây ở cả hai miền Nam và Bắc. Tuy nhiên sự hiểu biết về dòng nhạc này, những người khai phá và phát triển nó, lịch sử của nó, cái chất và cái hồn của nó… vẫn còn khá mỏng, thậm chí đôi khi dẫn đến những  ngộ nhận về Boléro, xem nó là dòng “nhạc sến” (không sang), hay ngược lại, xem nó là một thứ khuôn sáo mang tính thủ cựu. Tác giả Vũ Đức Sao Biển là một trong những người hiếm hoi nghiên cứu về Boléro với đầy đủ tư cách, kiến thức, kỹ năng, bề dày sáng tác, nhưng ông đã viết cuốn sách này trên hết với tất cả sự đam mê và tình yêu dành cho Boléro mà chúng ta (người đọc) có thể dễ dàng nhận thấy.Không chỉ dựng lại hành trình phát triển của Boléro (du nhập từ nước ngoài rồi khoác vào tâm hồn Việt nhờ cảnh quan miền Nam thông qua các nhạc sĩ đầu tiên từ miền Bắc đi vào), tác giả còn chỉ ra nguyên do sự thành công của Boléro, vạch ra cả những điểm yếu kém cố hữu của nó, giải thích luôn vì sao đôi khi sự yếu kém lại chính là thành công. Vũ Đức Sao Biển kêu gọi việc hiểu Boléro theo đúng bản chất của nó, gạt bỏ những gán ghép. Ông cũng kêu gọi sự tươi mới trong Boléro để hướng đến tương lai: Hãy nghĩ và viết những bài Boléro mới, nội dung mới, giai điệu mới. Người ca sĩ cũng vậy, cũng nên đi tìm cho tiếng hát của mình những ca khúc mới. Chỉ có làm cho Boléro mới lên thì mới có thể góp phần duy trì dòng nhạc này và hấp dẫn quần chúng yêu nhạc…Mời bạn đón đọc. ",75.0, 13 x 20 cm , 06/2019 ,, NXB Trẻ , Nxb Trẻ ,234.0, Vũ Đức Sao Biển , Bìa mềm 
Tuyển Tập Tác Phẩm Piano Cổ Điển - Lãng Mạn Được Yêu Thích - Tập 2,https://www.vinabook.com/images/thumbnails/product/240x/339464_p87747mscan0001.jpg,Âm nhạc,"  Thông tin tác giả    Cù Minh Nhật 
                                                                                                                                            Cù Minh Nhật
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Đặng Thái Sơn     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - Kèm file Audio âm thanh tất cả các tác phẩm trong sách- Có thể luyện tập trên đàn OrganBộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm nhạc cổ điển và lãng mạn, hoàn toàn không trùng lặp với các ấn phẩm đã phát hành như: “Piano cho thiếu nhi – Tuyển tập 220 tiểu phẩm nổi tiếng” (2011), “Tuyển tập tiểu phẩm piano măng non” (2017) và “Những nhạc khúc hay và dễ soạn cho đàn piano” (2018). Đặc biệt, để hỗ trợ thiết thực cho học viên, tất cả các tác phẩm trong bộ sách đều được minh họa qua file Audio âm thanh sinh động. Ngoài ra, chất lượng in cao cấp, thiết kế thoáng đẹp với gáy xoắn, thuận tiện khi đặt trên giá nhạc để thị tấu cũng là những ưu điểm của bộ sách này.Mời bạn đón đọc. ",120.0, 20.5 x 29.5 cm , 06/2019 ,, Huy Hoàng , NXB Dân Trí ,152.0," Cù Minh Nhật , Đặng Thái Sơn ", Bìa mềm 
Tuyển Tập Tác Phẩm Piano Cổ Điển - Lãng Mạn Được Yêu Thích - Tập 1,https://www.vinabook.com/images/thumbnails/product/240x/339455_p87746mscan0001.jpg,Âm nhạc,"  Thông tin tác giả    Đặng Thái Sơn     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Cù Minh Nhật 
                                                                                                                                            Cù Minh Nhật
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - Kèm file Audio âm thanh tất cả các tác phẩm trong sách- Có thể luyện tập trên đàn OrganBộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm nhạc cổ điển và lãng mạn, hoàn toàn không trùng lặp với các ấn phẩm đã phát hành như: “Piano cho thiếu nhi – Tuyển tập 220 tiểu phẩm nổi tiếng” (2011), “Tuyển tập tiểu phẩm piano măng non” (2017) và “Những nhạc khúc hay và dễ soạn cho đàn piano” (2018). Đặc biệt, để hỗ trợ thiết thực cho học viên, tất cả các tác phẩm trong bộ sách đều được minh họa qua file Audio âm thanh sinh động. Ngoài ra, chất lượng in cao cấp, thiết kế thoáng đẹp với gáy xoắn, thuận tiện khi đặt trên giá nhạc để thị tấu cũng là những ưu điểm của bộ sách này.Mời bạn đón đọc. ",120.0, 20.5 x 29.5 cm , 06/2019 ,, Huy Hoàng , NXB Dân Trí ,152.0," Đặng Thái Sơn , Cù Minh Nhật ", Bìa mềm 
Phương Pháp Hồng - Năm Thứ Nhất Với Đàn Piano - Tập 1 (Tái Bản 2019),https://www.vinabook.com/images/thumbnails/product/240x/338997_p87674mscan0001.jpg,Âm nhạc,"  Thông tin tác giả    Ernest Van De Velde     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     File Audio đánh mẫu tặng kèm trên websiteMéthode Rose là giáo trình dạy piano nổi tiếng của Pháp có từ thế kỷ XIX. Méthode Rose đã được biên soạn ra tiếng Anh, Tây Ban Nha, Bồ Đào Nha, Nhật và nhiều ngôn ngữ khác. Ngoài ra, Méthode Rose cũng đã được in thành sách chữ nổi Braille dành cho người khiếm thị. Đặc biệt File Audio tặng kèm giúp người học có thể nghe trước âm thanh của tất cả các tiểu phẩm trong sách.Với thiết kế gáy xoắn, khổ ngang cùng nốt nhạc to, cuốn sách rất thuận tiện khi đặt trên giá nhạc để thị tấu.Mời bạn đón đọc. ",85.0, 29.5 x 20.5 cm , 06/2019 ," Hà Vân , Lê Dũng ", Huy Hoàng , NXB Dân Trí ,124.0, Ernest Van De Velde , Bìa mềm 
Những Lời Bình Yên,https://www.vinabook.com/images/thumbnails/product/240x/337479_p87488mscan0001.jpg,Âm nhạc,"  Thông tin tác giả    Quốc Bảo 
                                                                                                                                            Quốc Bảo
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Những lời bình yên là tuyển tập 100 bài ca từ đã tạo nên tên tuổi của nhạc sĩ Quốc Bảo từ thập niên 1990 đến nay với những bài hát như Em về tinh khôi, Tóc nâu môi trầm, Tình ca phố",139.0, 12 x 20 cm , 27/05/2019 ,, Phanbook , NXB Văn hóa - Văn nghệ ,212.0, Quốc Bảo , Bìa mềm 
Most Favourite English Song Book 1997 - Volume 2,https://www.vinabook.com/images/thumbnails/product/240x/284965_p78755msongbook2.jpg,Âm nhạc,"  Thông tin tác giả    Nguyễn Vǎn Phước 
                                                                                                                                            Nguyễn Vǎn Phước
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Văn Bằng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     TUYỂN TẬP NHỮNG CA KHÚC TIẾNG ANH ĐƯỢC YÊU THÍCH NHẤT MỌI THỜI ĐẠIMÓN QUÀ TINH THẦN NGƯỢC DÒNG THỜI GIAN:Bất cứ ai yêu thích nhạc tiếng Anh ở thập niên 90 thế kỷ trước không ai là không ghi nhớ dấu ấn của hai tập sách lời bài hát tiếng Anh nghe băng cattsete ghi ra lời kèm hợp âm Guitar và Piano trong suốt 2 năm (1994-1996) và xuất bản vào đầu năm 1997 kèm 6 cuộn băng cattsetes vào lúc ở Việt Nam chưa có Internet lẫn Google. Tên hai tập sách lúc đó là All Time Most Favourite English Song Book 1997 – (Tuyển tập 600 ca khúc tiếng Anh yêu thích nhất mọi thời đại) - đã ngay lập tức trở thành một hiện tượng xuất bản khi khi được bạn đọc cả nước đón nhận nồng nhiệt. Gần 600.000 bản in đã đến tay bạn đọc chỉ trong vòng ba tháng, truyền nguồn cảm hứng học và hát tiếng Anh cho các bạn trẻ khắp cả nước. Từ khởi nguồn này, các chương trình nhạc tiếng Anh như “Những ca khúc Bất hủ”, “Bài hát tiếng Anh yêu thích”, “Unplugged English Songs SV97”…đã lan toả trên nhiều phương tiện truyền thông, càng làm bùng lên ngọn lửa đam mê hát và học tiếng Anh qua các ca khúc tiếng Anh. Hai tuyển tập nhạc này đã trở thành biểu tượng thời thượng lúc bấy giờ khi xuất hiện trên tủ sách của mọi gia đình, trường học, đi vào tiếng đàn lời ca khắp các ký túc xá sinh viên… và là quà tặng tinh tế thay lời muốn nói các bạn trẻ riêng dành cho nhau. Đối với các bạn trẻ thời đó, việc sở hữu được hai tập sách nhạc “toàn những bài hay đang được tìm kiếm” được thiết kế công phu và rất “chất” lúc bấy giờ dường như là một niềm hạnh phúc trọn vẹn trong lúc cuộc sống còn nhiều khó khăn. Các bạn trẻ thế hệ 7x, 8x đã từng giữ hai tập sách đó và yêu thích nhạc tiếng Anh lúc ấy –giờ đây – sau 20 năm – đều đã trưởng thành – đều nhớ về hai tập sách nhạc huyền thoại như nhân chứng thân thương, gần gũi của thời gian với bao ký ức, kỷ niệm không phai và tình yêu cuộc sống của riêng mình – mà cho dù cuộc sống hiện nay nhiều áp lực hơn. Một bạn đọc thế hệ 7x anh Hoàng Mạnh Thắng, đang làm ở Eurst&Young chia sẻ khá sâu sắc: “Tập sách bài hát mà tôi yêu thích cả một thời sinh viên này làm tôi nhớ lại nhiều kỷ niệm. Tôi đã được người bạn gái sinh viên năm thứ 3 tặng nhân dịp sinh nhật - Có một sự thật mà tôi cần chiêm nghiệm, 20 năm trước, chúng ta có rất ít phương tiện hiện đại hay tài sản, không có smart phone, máy tính bảng… nhưng chúng ta nghe và cảm nhận một bài hát tiếng Anh nào đó thật trọn vẹn với với tất cả rung động, cảm xúc như vốn có. Còn bây giờ, nghe lại đúng bài hát đó, tôi không còn cảm nhận trọn vẹn được như hồi xưa nữa –  Điều gì đã xảy ra ? Thời gian 20 năm trôi qua và cảm nhận cuộc sống của chúng ta lại giảm đi rất nhiều. Tôi sẽ giữ gìn tập sách nhạc một thời này để tự nhắc nhở mình”. Theo yêu cầu của đông đảo bạn đọc muốn có được hai tập sách bài hát đã gắn bó ký ức, kỷ niệm một thời, nhân dịp kỷ niệm 20 năm bộ sách ra đời 1997-2017, chúng tôi đã xuất bản ấn bản kỷ niệm đặc biệt có chỉnh sửa – Limited Edition - All Time Most Favourite English Song Book 1997 – NXB Tổng Hợp TP.HCM ấn hành. Đây sẽ là món quà đặc biệt dành cho các bạn yêu nhạc nhân dịp năm mới.Mời bạn đón đọc. ",97.0, 20.5 x 14.5 cm , 12/2017 ,, Trí Việt , Nxb Tổng hợp TP.HCM ,248.0," Nguyễn Vǎn Phước , Phạm Văn Bằng ", Bìa mềm 
Từ Giọng Hát Em - Chân Dung Những Nhạc Sĩ Trẻ,https://www.vinabook.com/images/thumbnails/product/240x/311952_p83835mscan0010.jpg,Âm nhạc,"  Thông tin tác giả    Hoàng Phương Anh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hồn cầm phong sương hình dáng xuân tànNgày dần buông trôi sầu vắng cung đànTừ người ra đi chờ vắng tin ngườiTừ người ra đi là hết mơ rồi!(Cung đàn xưa)Tình khúc Cung đàn xưa được nhạc sĩ Văn Cao viết năm 1942, cùng năm với nhạc sĩ Phạm Duy viết tình khúc đầu tay Cô hái mơ phổ từ bài thơ cùng tên của thi sĩ Nguyễn Bính. Điểm nổi bật ở các nhạc sĩ thế hệ đầu tiên của nền tân nhạc Việt Nam là các tác giả đều coi trọng phần ca từ, do vậy lời hát đẹp như bài thơ. Có lẽ trong thời kỳ đầu tân nhạc này, các tác giả khi sáng tác thường suy tưởng về nội dung trước và viết nên những câu thơ, sau đó tìm cách hát lời thơ lên để trở thành bài tình ca. Điều này giống như cách ông bà ta ngày xưa thường hát lên những câu ca dao viết ở thể thơ lục bát, song thất lục bát,… để trở thành những bài dân ca Việt vậy!Hơn 20 năm sau, vào giữa thập niên 1960, nền tân nhạc Việt lại xuất hiện một thế hệ nhạc sĩ TRẺ, họ đã viết nên những tình khúc rất lãng mạn, nếu tách riêng phần ca từ ta tưởng chừng như đó là bài thơ tình. Gọi là nhạc sĩ TRẺ bởi khi ấy họ chỉ là những thanh niên mới ngoài đôi mươi. Trẻ nhưng suy nghĩ của họ khá chín chắn cho dù có đôi lúc vẫn mang chút bồng bột, điều mà vốn dĩ người trẻ tuổi thường mắc phải. Thế hệ nhạc sĩ TRẺ được nói đến là Lê Uyên Phương, Vũ Thành An, Ngô Thụy Miên (đều là những nhạc sĩ sinh trong thập niên 1940).Một điểm chung quan trọng của thế hệ nhạc sĩ TRẺ này là, họ đều là những trí thức. Bản thân là giáo viên dạy Triết học như nhạc sĩ Lê Uyên Phương; là sinh viên trường Luật như nhạc sĩ Vũ Thành An; là sinh viên trường Khoa học như nhạc sĩ Ngô Thụy Miên, tốt nghiệp trường Quốc gia Âm nhạc. Cũng do họ là trí thức trẻ nên đối tượng thính giả chính là lớp thanh niên học sinh, sinh viên. Có lẽ sự tương đồng về tuổi tác cùng hoàn cảnh sống đã tạo nên sự cảm thông, sự đồng điệu về tâm hồn giữa tác giả và người thưởng thức.Những bài tình ca của các nhạc sĩ TRẺ được hát lên ở lớp học, trên giảng đường, giữa sân trường đại học trong các đêm văn nghệ. Bài hát được các bạn trẻ nâng niu chép vào trang nhật ký, có khi lấy lời hát thay cho lời muốn nói trong những bức thư tình… Những ấn bản nhạc tờ rời trở thành món quà tặng lãng mạn của giới trẻ. Không chỉ được giới trẻ yêu mến, ngay những nhà trí thức, các giáo sư đại học, những văn nghệ sĩ đàn anh cũng dành sự cảm mến đặc biệt đối với các chàng nhạc sĩ trẻ này.Trong giai đoạn này đã xuất hiện một Quán Văn do chính sinh viên tạo dựng bằng những đồng tiền nhỏ bé tích cóp được từ việc đi dạy kèm tư gia, đi bỏ báo tháng,… Họ mở quán với tinh thần phi lợi nhuận chỉ mong muốn tạo nên một sân chơi riêng – nơi gặp gỡ của những tâm hồn yêu nhạc, yêu thơ. Đến với quán, những khách hàng Thượng đế được phục vụ đá chanh, nước ngọt và đặc biệt là café ngon nhưng chắc chắn không có đồ uống chứa chất cồn! Những nhạc sĩ TRẺ đến với Quán Văn với mong muốn được thổ lộ những suy tư của mình về TÌNH YÊU về PHẬN NGƯỜI qua từng tác phẩm; họ không cần thù lao, tất cả là tình yêu âm nhạc, sự đam mê. Những bạn trẻ đến cũng mong muốn được thấy “thần tượng” của mình trong hình hài một con người thật giữa đời thường! Và quả thật các thần tượng khi đến biểu diễn họ đã hòa mình cùng với khán giả sinh viên khi xuất hiện với trang phục rất bình dị! Có lẽ chính bầu không khí thân mật, trong không gian văn hóa phi thương mại, sự đón nhận nồng nhiệt của bạn trẻ đã tạo nên niềm hứng khởi để các nhạc sĩ TRẺ liên tiếp cho ra đời những sáng tác xuất sắc chỉ trong một giai đoạn rất ngắn.Trong từng đêm nhạc, khán giả được nghe những lời tình tự chân thành của tác giả qua chính giọng hát của họ hòa cùng tiếng guitare thùng êm nhẹ; có khi khán giả được nghe những tình khúc mới qua giọng hát thô mộc của những ca sĩ mà tên tuổi còn rất xa lạ thậm chí còn chưa được đặt tên, thế nhưng những giọng hát trẻ đó với bao chất chứa, bao khát vọng đã làm cho người nghe quên đi những khiếm khuyết của chiếc micro rẻ tiền, của dàn âm thanh chất lượng ngang với loa phóng thanh. Và cũng chính từ những đêm nhạc ấy đã làm nên tên tuổi của những Thanh Lan, Lê Uyên,… để nhiều năm sau vẫn được khán giả yêu mến.Riêng nhạc sĩ Ngô Thụy Miên tốt nghiệp trường Quốc gia Âm nhạc Sài Gòn, các nhạc sĩ TRẺ còn lại chỉ được các đàn anh hoặc bạn bè hướng dẫn cơ bản vài ngón đàn, nốt nhạc nhưng với sự khao khát, tinh thần tự học, tự tìm tòi, họ đã đạt đến trình độ thẩm mỹ âm nhạc rất cao! Qua từng tác phẩm, từng chủ để âm nhạc được họ trình bày rất rõ nét, cấu trúc âm nhạc cân phương mang màu sắc cổ điển nhưng với trái tim của tuổi trẻ mang bao khát vọng, bao ước mơ cho nên nhiều lúc giai điệu nhạc của họ trở nên phóng túng, câu nhạc được mở rộng một cách ngẫu hứng rất phiêu lãng!Cho dù học theo nhạc Pháp phương Tây nhưng mỗi tình khúc của những nhạc sĩ TRẺ này lại mang đậm nét nhạc Việt, từng lời hát vang lên thật rõ tiếng, từng ca từ được tác giả lựa chọn dùng rất chân xác, đặt đúng cao độ làm cho ta càng hiểu sâu thêm nghĩa từ tiếng Việt. Mỗi nhạc sĩ TRẺ đã để lại những dấu ấn riêng trong lòng người yêu nhạc, một Lê Uyên Phương đầy mê hoặc, một Vũ Thành An thiết tha quá, một Ngô Thụy Miên sầu man mác.Đã hơn 50 năm qua, những tình khúc của các chàng nhạc sĩ TRẺ ngày ấy vẫn còn in đậm trong tâm trí của nhiều thế hệ người yêu nhạc; nhiều thế hệ ca sĩ đã tạo nên tên tuổi từ những tình khúc này trong tuyển tập:TỪ GIỌNG HÁT EM chân dung những nhạc sĩ TRẺ Lê Uyên Phương – Vũ Thành An – Ngô Thụy MiênTuyển tập gồm 48 tình khúc của các nhạc sĩ viết trong giai đoạn từ 1959 đến 1974.Mời bạn đón đọc. ",180.0, 23.5 x 23.5 cm , 09/2017 ,, Phương Nam , NXB Văn hóa - Văn nghệ ,120.0, Hoàng Phương Anh , Bìa mềm 
Most Favourite English Song Book 1997 - Volume 1,https://www.vinabook.com/images/thumbnails/product/240x/284956_p78754msongbook1.jpg,Âm nhạc,"  Thông tin tác giả    Nguyễn Vǎn Phước 
                                                                                                                                            Nguyễn Vǎn Phước
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Văn Bằng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     TUYỂN TẬP NHỮNG CA KHÚC TIẾNG ANH ĐƯỢC YÊU THÍCH NHẤT MỌI THỜI ĐẠIMÓN QUÀ TINH THẦN NGƯỢC DÒNG THỜI GIAN:Bất cứ ai yêu thích nhạc tiếng Anh ở thập niên 90 thế kỷ trước không ai là không ghi nhớ dấu ấn của hai tập sách lời bài hát tiếng Anh nghe băng cattsete ghi ra lời kèm hợp âm Guitar và Piano trong suốt 2 năm (1994-1996) và xuất bản vào đầu năm 1997 kèm 6 cuộn băng cattsetes vào lúc ở Việt Nam chưa có Internet lẫn Google. Tên hai tập sách lúc đó là All Time Most Favourite English Song Book 1997 – (Tuyển tập 600 ca khúc tiếng Anh yêu thích nhất mọi thời đại) - đã ngay lập tức trở thành một hiện tượng xuất bản khi khi được bạn đọc cả nước đón nhận nồng nhiệt. Gần 600.000 bản in đã đến tay bạn đọc chỉ trong vòng ba tháng, truyền nguồn cảm hứng học và hát tiếng Anh cho các bạn trẻ khắp cả nước. Từ khởi nguồn này, các chương trình nhạc tiếng Anh như “Những ca khúc Bất hủ”, “Bài hát tiếng Anh yêu thích”, “Unplugged English Songs SV97”…đã lan toả trên nhiều phương tiện truyền thông, càng làm bùng lên ngọn lửa đam mê hát và học tiếng Anh qua các ca khúc tiếng Anh. Hai tuyển tập nhạc này đã trở thành biểu tượng thời thượng lúc bấy giờ khi xuất hiện trên tủ sách của mọi gia đình, trường học, đi vào tiếng đàn lời ca khắp các ký túc xá sinh viên… và là quà tặng tinh tế thay lời muốn nói các bạn trẻ riêng dành cho nhau. Đối với các bạn trẻ thời đó, việc sở hữu được hai tập sách nhạc “toàn những bài hay đang được tìm kiếm” được thiết kế công phu và rất “chất” lúc bấy giờ dường như là một niềm hạnh phúc trọn vẹn trong lúc cuộc sống còn nhiều khó khăn. Các bạn trẻ thế hệ 7x, 8x đã từng giữ hai tập sách đó và yêu thích nhạc tiếng Anh lúc ấy –giờ đây – sau 20 năm – đều đã trưởng thành – đều nhớ về hai tập sách nhạc huyền thoại như nhân chứng thân thương, gần gũi của thời gian với bao ký ức, kỷ niệm không phai và tình yêu cuộc sống của riêng mình – mà cho dù cuộc sống hiện nay nhiều áp lực hơn. Một bạn đọc thế hệ 7x anh Hoàng Mạnh Thắng, đang làm ở Eurst&Young chia sẻ khá sâu sắc: “Tập sách bài hát mà tôi yêu thích cả một thời sinh viên này làm tôi nhớ lại nhiều kỷ niệm. Tôi đã được người bạn gái sinh viên năm thứ 3 tặng nhân dịp sinh nhật - Có một sự thật mà tôi cần chiêm nghiệm, 20 năm trước, chúng ta có rất ít phương tiện hiện đại hay tài sản, không có smart phone, máy tính bảng… nhưng chúng ta nghe và cảm nhận một bài hát tiếng Anh nào đó thật trọn vẹn với với tất cả rung động, cảm xúc như vốn có. Còn bây giờ, nghe lại đúng bài hát đó, tôi không còn cảm nhận trọn vẹn được như hồi xưa nữa –  Điều gì đã xảy ra ? Thời gian 20 năm trôi qua và cảm nhận cuộc sống của chúng ta lại giảm đi rất nhiều. Tôi sẽ giữ gìn tập sách nhạc một thời này để tự nhắc nhở mình”. Theo yêu cầu của đông đảo bạn đọc muốn có được hai tập sách bài hát đã gắn bó ký ức, kỷ niệm một thời, nhân dịp kỷ niệm 20 năm bộ sách ra đời 1997-2017, chúng tôi đã xuất bản ấn bản kỷ niệm đặc biệt có chỉnh sửa – Limited Edition - All Time Most Favourite English Song Book 1997 – NXB Tổng Hợp TP.HCM ấn hành. Đây sẽ là món quà đặc biệt dành cho các bạn yêu nhạc nhân dịp năm mới.Mời bạn đón đọc. ",97.0, 20.5 x 14.5 cm , 12/2017 ,, Trí Việt , Nxb Tổng hợp TP.HCM ,248.0," Nguyễn Vǎn Phước , Phạm Văn Bằng ", Bìa mềm 
100 Bản Tình Ca Nga Nổi Tiếng,https://www.vinabook.com/images/thumbnails/product/240x/279892_p78133m100ban.jpg,Âm nhạc,"  Thông tin tác giả    Nguyễn Thụy Kha 
                                                                                                                                            Nguyễn Thụy Kha
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Âm nhạc của Nga đã có vị trí sâu đậm trong đời sống tinh thần của dân tộc Việt sau 1954. Tác phẩm là bộ sưu tập 100 bài tình ca nổi tiếng của nước Nga bằng lời Việt và cả phần lời bằng tiếng Nga chào mừng kỷ niệm 100 năm Cách mạng Tháng Mười Nga (07/11/1917 - 07/11/2017). Xin trân trong giới thiệu cùng bạn đọc. Mời bạn đón đọc. ",150.0, 20 x 28 cm , 12/2017 ,, NXB Trẻ , Nxb Trẻ ,192.0, Nguyễn Thụy Kha , Bìa mềm 
Nhạc Sĩ Thiên Tài & Những Bài Tập Piano Quen Thuộc - Tập 2 (Tặng Kèm CD),https://www.vinabook.com/images/thumbnails/product/240x/247416_p73676mnhacsi.jpg,Âm nhạc,"  Thông tin tác giả    Cù Minh Nhật 
                                                                                                                                            Cù Minh Nhật
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Phương Hoa 
                                                                                                                                            Phạm Phương Hoa
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đối với người tập đàn phím, việc hiểu biết về những tác giả tác phẩm piano quen thuộc là điều vô cùng cần thiết, điều đó sẽ giúp chúng ta có nhiều cảm xúc hơn khi chơi nhạc, đến gần ta có nhiều cảm xúc hơn khi chơi nhạc, đến gần hơn với âm nhạc bác học.“Nhạc sĩ thiên tài và những bài tập Piano quen thuộc” giới thiệu một số tác giả, tác phẩm Piano tiêu biểu thời kỳ âm nhạc lãng mạn thế kỷ XIX như Schubertm Schumann, Brahms, Mendelssohn, Chopin, Liszt, Tchaikovsky.Thêm vào đó, cuốn sách này còn cung cấp gần 50 bài tập là các tác phẩm tiêu biểu, đặc sắc nhất của các nhạc sĩ.Hy vọng cuốn sách này sẽ mang đến cho những người học piano và bạn đọc nhiều kiến thức âm nhạc bổ ích và lý thú.Mời bạn đón đọc. ",88.0, 20.5 x 29.5 cm , 12/2016 ,, Huy Hoàng , NXB Thanh Niên ,208.0," Cù Minh Nhật , Phạm Phương Hoa ", Bìa mềm 
Tình Yêu Của Tôi,https://www.vinabook.com/images/thumbnails/product/240x/143639_p58017mxx430.jpg,Âm nhạc,"  Thông tin tác giả    Trương Tuyết Mai     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trương Tuyết  Mai bắt đầu hoạt động âm nhạc từ khi học ở Trường miền Nam số 8 Hải Phòng.  Năm 1965 tốt nghiệp môn flute (sáo sắt) ở Trường Âm nhạc Việt Nam, bà về công  tác tại Dàn nhạc Đài Phát thanh Giải phóng (CP90). Từ năm 1974 phục vụ tại chiến trường Trị-Thiên và Khu V trong  Đoàn ca nhạc Đài Phát thanh Giải phóng. Từ năm 1975 đến 1981 làm việc tại dàn nhạc Đài TNVN sau chuyển sang làm công tác biên tâp. Từ năm 1981 đến khi nghỉ hưu làm công tác biên tập âm nhạc tại Đài Tiếng nói Nhân dân TP Hồ Chí Minh. Bà bắt đầu sáng tác từ thời chống Mỹ với bài Xe ta ơi lên đường (thơ Huy Cận) được nhiều người biết đến. Gần đây là ca khúc Huế-tình yêu của tôi và nhiều ca khúc khác được xuất bản và sử dụng như Sao anh không là",370.0, 19 x 27 cm , 03/2014 ,, Tác giả Trương Tuyết Mai , Nxb Hội Nhà Văn ,456.0, Trương Tuyết Mai , Bìa cứng 
